,province,modelcode,modelname,modeldefine
0,天津,01,客车1型车,7座以下（含7座）
1,天津,02,客车2型车,8-19座
2,天津,03,客车3型车,20-39座
3,天津,04,客车4型车,40座以上（含40座）
4,天津,05,货车11型车,2吨以下（含2吨）
5,天津,06,货车12型车,2吨－5吨（含5吨）
6,天津,07,货车13型车,5吨－10吨（含10吨）
7,天津,08,货车14型车,10吨－15吨（含15吨）及20英尺集装箱运输车
8,天津,09,货车15型车,15吨以上及40英尺（含同时运输2个20英尺）集装箱运输车
9,河北,01,客车1型车,7座以内（含7座）
10,河北,02,客车2型车,8座-19座
11,河北,03,客车3型车,20座-39座
12,河北,04,客车4型车,40座以上
13,河北,05,货车1型车,2吨以下（含2吨）
14,河北,06,货车2型车,2吨－5吨（含5吨）
15,河北,07,货车3型车,5吨－10吨（含10吨）
16,河北,08,货车4型车,10吨－15吨（含15吨）
17,河北,09,货车5型车,15吨－30吨（含30吨）
18,河北,10,货车6型车,30吨－45吨（含45吨）
19,河北,11,货车7型车,45吨以上
20,河北,12,货车8型车,集装箱
21,河北,13,货车9型车,货车
22,河北,14,货车11型车,小于2吨
23,河北,15,货车12型车,2吨-5吨（含5吨）
24,河北,16,货车13型车,5吨-10吨（含10吨）
25,河北,17,货车14型车,10-15吨（含15吨）、20英尺和40英尺集装箱车
26,河北,18,货车15型车,15吨以上
27,山西,01,客车1型车,客1(7座以下，含7座)
28,山西,02,客车2型车,客2（8-19座）
29,山西,03,客车3型车,客3（20-39座）
30,山西,04,客车4型车,客4（40座以上，含40座）
31,山西,05,货车11型车,货1（无称重货车，按车型收费）
32,山西,06,货车12型车,货2（无称重货车，按车型收费）
33,山西,07,货车13型车,货3（无称重货车，按车型收费）
34,山西,08,货车14型车,货4（无称重货车，按车型收费）
35,山西,09,货车15型车,货5（无称重货车，按车型收费）
36,山西,10,货车21型车,计重一型货车  2吨以下（含2吨）
37,山西,11,货车22型车,计重二型货车 2吨－5吨（含5吨）
38,山西,12,货车23型车,计重三型货车  5吨－10吨（含10吨）
39,山西,13,货车24型车,计重四型货车  10吨－15吨（含15吨）
40,山西,14,货车25型车,计重五型货车  15t以上
41,辽宁,01,客车1型车,一型车7座以下（含7座）
42,辽宁,02,客车2型车,二型车8-19座
43,辽宁,03,客车3型车,三型车20-39座
44,辽宁,04,客车4型车,四型车40座以上（含40座）
45,辽宁,05,货车5型车,特种吊车(按五型货车算)
46,辽宁,06,货车6型车,计货1  2吨以下（含2吨）
47,辽宁,07,货车7型车,计货2  2吨－5吨（含5吨）
48,辽宁,08,货车8型车,计货3  5吨－10吨（含10吨）
49,辽宁,09,货车9型车,计货4  10吨－15吨（含15吨）及20英尺集装箱运输车
50,辽宁,10,货车10型车,计货5  15t以上
51,辽宁,11,货车11型车,一型货（无称重货车，按车型收费）
52,辽宁,12,货车12型车,二型货（无称重货车，按车型收费）
53,辽宁,13,货车13型车,三型货（无称重货车，按车型收费）
54,辽宁,14,货车14型车,四型货（无称重货车，按车型收费）
55,辽宁,15,货车15型车,五型货（无称重货车，按车型收费）
56,辽宁,16,货车16型车,特货1（绿色通道(收费)、集装箱、罐车）
57,辽宁,17,货车17型车,特货2（绿色通道(收费)、集装箱、罐车）
58,辽宁,18,货车18型车,特货3（绿色通道(收费)、集装箱、罐车）
59,辽宁,19,货车19型车,特货4（绿色通道(收费)、集装箱、罐车）
60,辽宁,20,货车20型车,特货5（绿色通道(收费)、集装箱、罐车）
61,吉林,01,客车1型车,7座以下（含7座）
62,吉林,02,客车2型车,8-19座
63,吉林,03,客车3型车,20-39座
64,吉林,04,客车4型车,40座以上（含40座）
65,吉林,05,货车1型车,2吨以下（含2吨）
66,吉林,06,货车2型车,2吨－5吨（含5吨）
67,吉林,07,货车3型车,5吨－10吨（含10吨）
68,吉林,08,货车4型车,10吨－15吨（含15吨）及20英尺集装箱运输车
69,吉林,09,货车5型车,15吨以上及40英尺（含同时运输2个20英尺）集装箱运输车
70,黑龙江,01,客车1型车,7座以下（含7座）
71,黑龙江,02,客车2型车,8-19座
72,黑龙江,03,客车3型车,20-39座
73,黑龙江,04,客车4型车,40座以上（含40座）
74,黑龙江,05,货车1型车,2吨以下（含2吨）
75,黑龙江,06,货车2型车,2吨－5吨（含5吨）
76,黑龙江,07,货车3型车,5吨－10吨（含10吨）
77,黑龙江,08,货车4型车,10吨－15吨（含15吨）及20英尺集装箱运输车
78,黑龙江,09,货车5型车,15吨以上及40英尺（含同时运输2个20英尺）集装箱运输车
79,上海,01,客车1型车,7座以下（含7座）
80,上海,02,客车2型车,8-19座
81,上海,03,客车3型车,20-39座
82,上海,04,客车4型车,40座以上（含40座）
83,上海,05,货车5型车,2吨以下（含2吨）
84,上海,06,货车6型车,2吨－5吨（含5吨）
85,上海,07,货车7型车,5吨－10吨（含10吨）
86,上海,08,货车8型车,10吨－15吨（含15吨）
87,上海,09,货车9型车,15吨以上
88,上海,10,货车10型车,20英尺集装箱运输车
89,上海,11,货车11型车,40英尺集装箱运输车
90,江苏,01,客车1型车,7座以内（含7座）
91,江苏,02,客车2型车,8座-19座
92,江苏,03,客车3型车,20座-39座
93,江苏,04,客车4型车,40座以上
94,江苏,05,货车11型车,小于2吨
