rkwlbh            入口网络编号
rkzbh             入口站编号
entime            入口时间
ckwlbh            出口网络编号
ckzbh             出口站编号
exittime          出口时间
carlicense        车牌号
vhcmodel          车型代码
vhctype           车种代码
mileage           里程
axisnum           总轴数
axistype          轴型及轴重
totalweight       车货总重
limitweight       限重
limitrate         超限率
greencalfcode     是否绿色通道车辆代码
freechargecode    免费类型代码
etcflg            是否ETC车道代码
obu               obu编码
paytype           支付方式
transproflg       是否跨省
procode           省编码
proname           省名称
isvalid           车牌是否有效
overspeed         是否超速
overload          是否超重
carprovince       车牌归属省
isprovince        是否本省车
iscity            是否本市车
carcity           车牌所属市
entercity         入口站所在市
exitcity          出口站所在市
isnightOut        是否夜间出行
isweekout         是否周末出行
isfestivalout     是否节假日出行
istireddrived     是否疲劳驾驶
enname            入口站名称
extname           出口站名称
